Date,Open,High,Low,Close,Volume,SMA_20,SMA_50
51,52134.8125,52483.32421875,51711.8203125,-1.7264871635213441,-1.0340948621461876,-1.9085409604794208,-1.9423967573819685
52,51777.7265625,52945.05078125,50792.3125,-1.701443116408837,-0.5410789403764626,-1.8847217829394871,-1.9345991351434237
53,52273.53515625,52368.81640625,50671.7578125,-1.7235141900217488,-0.735498702830184,-1.8632075249969513,-1.9279891198172425
54,51854.64453125,52009.61328125,50926.29296875,-1.7499684119544818,-0.867514507963276,-1.8432750133212001,-1.919865614018355
55,51283.90625,51497.93359375,50561.77734375,-1.7783448433781042,-1.0314268439195364,-1.8242739673078616,-1.9135718088214055
56,50736.37109375,51684.1953125,50585.4453125,-1.7367895641729776,-1.2885097568659751,-1.8022095088150365,-1.9064553717407484
57,51565.21484375,51950.02734375,51306.171875,-1.7287604659201499,-1.2786769891079521,-1.779931339704618,-1.8990165294824644
58,51730.5390625,54938.17578125,50931.03125,-1.5906395487477816,-0.511450326045443,-1.7518515866312183,-1.8888541660903435
59,54519.36328125,57537.83984375,54484.19921875,-1.4637199461350836,0.13330930905045735,-1.720508097942101,-1.8791379362379346
60,57071.09765625,63913.1328125,56738.42578125,-1.1953474289181394,1.509885837965934,-1.678273998653433,-1.8634178414608609
61,62499.18359375,63585.64453125,60498.73046875,-1.2600413749917094,0.7804272029315537,-1.6437781896483605,-1.8494214785626812
62,61168.0625,63155.1015625,60802.52734375,-1.1985244812154492,-0.26016622409260837,-1.6077647619466113,-1.8339828476106925
63,62431.65234375,62458.69921875,61657.2890625,-1.2188667849561583,-0.9302301921310641,-1.5740429047204434,-1.8155619406233987
64,62031.578125,63230.2109375,61435.0234375,-1.1625360073568878,-0.8329828093220617,-1.5416143012096095,-1.7960379810668965
65,63137.00390625,68537.03125,62386.51953125,-0.9068593191935871,0.9931428157287685,-1.4959806255648953,-1.7705495745042017
66,68341.0546875,69170.625,59323.91015625,-1.1311484948287887,2.3142220437164815,-1.4665830878468462,-1.750099374538066
67,63776.05078125,67637.9296875,62848.671875,-1.0169736614932618,0.9141948892486614,-1.4317998795373685,-1.7280520715835344
