Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,Price_Trend,SMA_Crossover,State
2019-02-19,3911.66162109375,4010.87939453125,3908.153076171875,-1.1936257906224643,-1.1453672603028142,-1.1994874593276688,-1.1900083773491297,0,0,0
2019-02-20,3946.68505859375,4000.486328125,3926.246826171875,-1.191987850534178,-1.2038772316994877,-1.1986418568331667,-1.1899101453697336,1,0,2
2019-02-21,4000.2568359375,4010.009521484375,3940.108154296875,-1.1934075993405036,-1.2471962568314954,-1.1979145935768256,-1.1899034151257466,0,0,0
2019-02-22,3952.406494140625,4006.538330078125,3950.81640625,-1.1918105914482875,-1.244771552675304,-1.1971587919704356,-1.189797336642076,1,0,2
2019-02-23,3998.916259765625,4166.2861328125,3968.726806640625,-1.187554666930715,-1.1930794178755455,-1.19610026210695,-1.18961833927983,1,0,2
2019-02-24,4145.4580078125,4210.6416015625,3793.708984375,-1.1978713626390851,-1.104767689204346,-1.1955522502200158,-1.1896401897489093,0,0,0
2019-02-25,3807.00244140625,3913.707275390625,3807.00244140625,-1.1956263261085485,-1.1743724137805238,-1.1949027315719922,-1.1897620750920073,1,0,2
2019-02-26,3878.697265625,3891.578857421875,3837.986328125,-1.1965066603176728,-1.2398325367672898,-1.1942153792713233,-1.1898694765167366,0,0,0
2019-02-27,3857.479736328125,3888.802490234375,3787.058837890625,-1.1966095027447083,-1.222373195258225,-1.1935108886493706,-1.1899824778088837,0,0,0
2019-02-28,3848.261962890625,3906.058349609375,3845.8212890625,-1.1964933802963056,-1.217728350379922,-1.193217587097428,-1.190095925605146,1,0,2
2019-03-01,3853.757080078125,3907.79541015625,3851.6923828125,-1.1963443194511023,-1.252568648228678,-1.1929237005184503,-1.1899823846721145,1,0,2
2019-03-02,3855.318115234375,3874.607421875,3832.1279296875,-1.1961942347321786,-1.2564588581226568,-1.1926518941395194,-1.1898711123175514,1,0,2
2019-03-03,3862.26611328125,3875.483642578125,3836.90576171875,-1.1967297737777416,-1.2718017607611587,-1.1923418374285308,-1.1897542934919387,0,0,0
2019-03-04,3845.091552734375,3867.3818359375,3733.749755859375,-1.199389524670574,-1.1880354956222683,-1.1921733050798564,-1.189623189756836,0,0,0
2019-03-05,3759.83251953125,3903.916748046875,3745.18310546875,-1.1952013957617973,-1.1340214805281876,-1.1917609710936563,-1.189503575447212,1,0,2
2019-03-06,3897.0810546875,3919.510498046875,3871.460693359375,-1.1949663067713236,-1.1811423618453682,-1.1913131340410266,-1.189331832012302,1,0,2
2019-03-07,3903.384765625,3939.373291015625,3894.113037109375,-1.194732021711327,-1.1618533852321984,-1.1908596622944154,-1.1891706406511038,1,0,2
2019-03-08,3913.225830078125,3950.43212890625,3875.228515625,-1.1950536318233065,-1.112107708736528,-1.190436346101493,-1.189030761038728,0,0,0
2019-03-09,3894.552490234375,3987.23779296875,3892.390380859375,-1.1931219385724878,-1.1046791841554249,-1.1899847402711867,-1.1888387760839314,1,0,2
2019-03-10,3966.17431640625,3966.17431640625,3924.381103515625,-1.1934858308769989,-1.1557628849385913,-1.189928756307132,-1.188698604939659,0,0,0
2019-03-11,3953.740234375,3966.384765625,3889.239013671875,-1.194926398448974,-1.13629651270656,-1.1899940721379727,-1.1885074123378696,0,0,0
2019-03-12,3903.75830078125,3926.88916015625,3863.55908203125,-1.1948043451172423,-1.1512047795531524,-1.1901355149926145,-1.1882980502407887,1,0,2
2019-03-13,3913.04736328125,3926.59765625,3891.904296875,-1.1948801117725585,-1.1672776960544848,-1.19020946378099,-1.1881081607865769,0,0,0
2019-03-14,3905.576904296875,3946.50439453125,3901.296875,-1.194331755344865,-1.119554386583386,-1.190336075286191,-1.1878949509287755,1,0,2
2019-03-15,3926.663330078125,3968.54296875,3914.015380859375,-1.1931965751745863,-1.170814669107709,-1.1906194089067972,-1.1876686689341742,1,0,2
2019-03-16,3963.900146484375,4077.036376953125,3961.657470703125,-1.1904686039549706,-1.1490214863751589,-1.1902476463169456,-1.1873865059522168,1,0,2
2019-03-17,4047.719482421875,4054.1220703125,4006.4111328125,-1.1911985349066805,-1.226132368813171,-1.1900252850061463,-1.1871208037817622,0,0,0
2019-03-18,4029.968505859375,4071.556640625,4009.1171875,-1.1909724332521976,-1.1588912767123214,-1.1897473590768437,-1.186838903792263,1,0,2
2019-03-19,4032.69189453125,4082.216064453125,4023.8125,-1.1897707467955865,-1.1731399972016017,-1.1894039204033036,-1.1864613500393983,1,0,2
2019-03-20,4070.7939453125,4089.4619140625,4031.11083984375,-1.18926481666117,-1.133937037036599,-1.189040905795834,-1.1860595245683352,1,0,2
2019-03-21,4083.953857421875,4097.35986328125,4005.1513671875,-1.1910712332740996,-1.1030228805653517,-1.1887760942225647,-1.185718167876051,0,0,0
2019-03-22,4028.5146484375,4053.90673828125,4021.54248046875,-1.1912376999725511,-1.1774794196579657,-1.1885271796925148,-1.1853623370854205,0,0,0
2019-03-23,4022.71337890625,4049.882568359375,4015.964599609375,-1.1908693253764198,-1.1621041234413707,-1.1882328711018482,-1.1850180040059108,1,0,2
2019-03-24,4035.16357421875,4040.69970703125,4006.19287109375,-1.191293618646189,-1.18257841650414,-1.1878262990225397,-1.1847030673150267,0,0,0
2019-03-25,4024.11279296875,4038.8408203125,3934.03125,-1.19312949248527,-1.1252612811511282,-1.1877222491458823,-1.1843894191951252,0,0,0
